,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Aquatic,Semiaquatic,Terrestrial,Scansorial,Subfossorial,Cave_dwelling,Nocturnal,Diurnal,Paedomorphic,Metamorphosizing,Direct_Development,Free_living,No_free_living,Lentic_water,Lotic_water,Both_water,No_larva
100,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,dunni,Plethodon_dunni,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
101,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,elongatus,Plethodon_elongatus,no,no,yes,no,no,no,NA,NA,no,no,yes,no,yes,no,no,no,yes
102,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,Plethodon_glutinosus,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
103,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,idahoensis,Plethodon_idahoensis,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
104,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,jordani,Plethodon_jordani,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
105,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,vehiculum,Plethodon_vehiculum,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes
106,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Pseudotriton,montanus,Pseudotriton_montanus,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
107,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Pseudotriton,ruber,Pseudotriton_ruber,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
108,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Stereochilus,marginatus,Stereochilus_marginatus,yes,no,no,no,no,no,NA,NA,no,yes,no,yes,no,yes,no,no,no
109,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Thorius,boreas,Thorius_boreas,no,no,no,no,yes,no,NA,NA,no,no,yes,no,yes,no,no,no,yes
