,Genus_Species,Pupils
86,Hynobius_abei,symmetrical_circle
87,Hynobius_amjiensis,NA
88,Hynobius_chinensis,symmetrical_circle
89,Hynobius_kimurae,symmetrical_circle
90,Hynobius_leechii,symmetrical_circle
91,Hynobius_lichenatus,symmetrical_circle
92,Hynobius_naevius,symmetrical_circle
93,Hynobius_nebulosus,symmetrical_circle
94,Hynobius_nigrescens,symmetrical_circle
95,Hynobius_sonani,NA
96,Hynobius_tsuensis,symmetrical_circle
97,Ichthyosaura_alpestris,symmetrical_circle
98,Lissotriton_boscai,symmetrical_circle
99,Lissotriton_helveticus,symmetrical_circle
100,Lissotriton_italicus,symmetrical_circle
101,Lissotriton_montandoni,symmetrical_circle
102,Lissotriton_vulgaris,horizontal_oval
103,Liua_shihi,symmetrical_circle
104,Lyciasalamandra_luschani,symmetrical_circle
105,Mertensiella_caucasica,symmetrical_circle
106,Necturus_alabamensis,symmetrical_circle
107,Necturus_beyeri,symmetrical_circle
108,Necturus_lewisi,symmetrical_circle
109,Necturus_maculosus,symmetrical_circle
110,Neurergus_crocatus,symmetrical_circle
111,Neurergus_strauchii,symmetrical_circle
112,Notophthalmus_viridescens,horizontal_oval
113,Ommatotriton_vittatus,symmetrical_circle
114,Onychodactylus_fischeri,symmetrical_circle
115,Onychodactylus_japonicus,symmetrical_circle
116,Pachyhynobius_shangchengensis,symmetrical_circle
117,Pachytriton_brevipes,symmetrical_circle
118,Paradactylodon_mustersi,symmetrical_circle
119,Paramesotriton_deloustali,symmetrical_circle
120,Paramesotriton_hongkongensis,symmetrical_circle
121,Plethodon_albagula,horizontal_oval
122,Plethodon_cinereus,horizontal_oval
123,Plethodon_dunni,NA
124,Plethodon_elongatus,symmetrical_circle
125,Plethodon_glutinosus,horizontal_oval
126,Plethodon_idahoensis,symmetrical_circle
127,Plethodon_jordani,horizontal_oval
128,Plethodon_vehiculum,horizontal_oval
129,Pleurodeles_poireti,symmetrical_circle
130,Pleurodeles_waltl,symmetrical_circle
131,Pseudobranchus_striatus,symmetrical_circle
132,Pseudotriton_montanus,horizontal_oval
133,Pseudotriton_ruber,horizontal_oval
134,Ranodon_sibiricus,horizontal_upside_down_triangle
135,Rhyacotriton_cascadae,symmetrical_circle
136,Rhyacotriton_olympicus,symmetrical_circle
137,Rhyacotriton_variegatus,symmetrical_circle
138,Salamandra_atra,symmetrical_circle
139,Salamandra_salamandra,symmetrical_circle
140,Salamandrella_keyserlingii,symmetrical_circle
141,Salamandrina_terdigitata,symmetrical_circle
142,Siren_intermedia,symmetrical_circle
143,Siren_lacertina,symmetrical_circle
144,Stereochilus_marginatus,symmetrical_circle
145,Taricha_granulosa,symmetrical_circle
146,Taricha_rivularis,horizontal_oval
147,Taricha_torosa,horizontal_oval
148,Thorius_boreas,symmetrical_circle
149,Thorius_pennatulus,horizontal_oval
150,Triturus_carnifex,symmetrical_circle
151,Triturus_cristatus,symmetrical_circle
152,Triturus_karelinii,symmetrical_circle
153,Tylototriton_shanjing,symmetrical_circle
154,Tylototriton_taliangensis,symmetrical_circle
155,Tylototriton_verrucosus,symmetrical_circle
