Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Calotriton,asper,Calotriton_asper
Caudata,Salamandroidea,Salamandridae,Salamandrinae,Chioglossa,lusitanica,Chioglossa_lusitanica
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,ensicauda,Cynops_ensicauda
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,pyrrhogaster,Cynops_pyrrhogaster
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,wolterstorffi,Cynops_wolterstorffi
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Echinotriton,andersoni,Echinotriton_andersoni
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Euproctus,montanus,Euproctus_montanus
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Ichthyosaura,alpestris,Ichthyosaura_alpestris
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,boscai,Lissotriton_boscai
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,helveticus,Lissotriton_helveticus
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,italicus,Lissotriton_italicus
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,montandoni,Lissotriton_montandoni
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,vulgaris,Lissotriton_vulgaris
Caudata,Salamandroidea,Salamandridae,Salamandrinae,Lyciasalamandra,luschani,Lyciasalamandra_luschani
Caudata,Salamandroidea,Salamandridae,Salamandrinae,Mertensiella,caucasica,Mertensiella_caucasica
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,crocatus,Neurergus_crocatus
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,strauchii,Neurergus_strauchii
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Notophthalmus,viridescens,Notophthalmus_viridescens
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Ommatotriton,vittatus,Ommatotriton_vittatus
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pachytriton,brevipes,Pachytriton_brevipes
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Paramesotriton,deloustali,Paramesotriton_deloustali
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Paramesotriton,hongkongensis,Paramesotriton_hongkongensis
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,poireti,Pleurodeles_poireti
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,waltl,Pleurodeles_waltl
Caudata,Salamandroidea,Salamandridae,Salamandrinae,Salamandra,atra,Salamandra_atra
Caudata,Salamandroidea,Salamandridae,Salamandrinae,Salamandra,salamandra,Salamandra_salamandra
Caudata,Salamandroidea,Salamandridae,Salamandrininae,Salamandrina,terdigitata,Salamandrina_terdigitata
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,granulosa,Taricha_granulosa
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,rivularis,Taricha_rivularis
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,torosa,Taricha_torosa
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,carnifex,Triturus_carnifex
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,cristatus,Triturus_cristatus
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,karelinii,Triturus_karelinii
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,shanjing,Tylototriton_shanjing
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,taliangensis,Tylototriton_taliangensis
Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,verrucosus,Tylototriton_verrucosus
Caudata,Sirenidea,Sirenidae,NA,Pseudobranchus,striatus,Pseudobranchus_striatus
Caudata,Sirenidea,Sirenidae,NA,Siren,intermedia,Siren_intermedia
Caudata,Sirenidea,Sirenidae,NA,Siren,lacertina,Siren_lacertina
