,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Activity_Period,Adult_Habitat,Development,Life_History,Larval_Habitat
51,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,lugubris,Aneides_lugubris,nocturnal,scansorial,direct development,no free-living,no larva
52,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,niger,Aneides_niger,nocturnal,semiaquatic,direct development,no free-living,no larva
53,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,vagrans,Aneides_vagrans,nocturnal,scansorial,direct development,no free-living,no larva
54,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,attenuatus,Batrachoseps_attenuatus,nocturnal,subfossorial,direct development,no free-living,no larva
55,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,major,Batrachoseps_major,nocturnal,subfossorial,direct development,no free-living,no larva
56,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,nigriventris,Batrachoseps_nigriventris,nocturnal,subfossorial,direct development,no free-living,no larva
57,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,pacificus,Batrachoseps_pacificus,nocturnal,subfossorial,direct development,no free-living,no larva
58,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,relictus,Batrachoseps_relictus,nocturnal,subfossorial,direct development,no free-living,no larva
59,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,altamazonica,Bolitoglossa_altamazonica,nocturnal,scansorial,direct development,no free-living,no larva
60,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,engelhardti,Bolitoglossa_engelhardti,nocturnal,scansorial,direct development,no free-living,no larva
61,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,lignicolor,Bolitoglossa_lignicolor,nocturnal,scansorial,direct development,no free-living,no larva
62,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,marmorea,Bolitoglossa_marmorea,nocturnal,scansorial,direct development,no free-living,no larva
63,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,mexicana,Bolitoglossa_mexicana,nocturnal,scansorial,direct development,no free-living,no larva
64,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,morio,Bolitoglossa_morio,nocturnal,scansorial,direct development,no free-living,no larva
65,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,platydactyla,Bolitoglossa_platydactyla,nocturnal,scansorial,direct development,no free-living,no larva
66,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rostrata,Bolitoglossa_rostrata,nocturnal,scansorial,direct development,no free-living,no larva
67,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rufescens,Bolitoglossa_rufescens,nocturnal,scansorial,direct development,no free-living,no larva
68,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,subpalmata,Bolitoglossa_subpalmata,nocturnal,scansorial,direct development,no free-living,no larva
69,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Chiropterotriton,chiropterus,Chiropterotriton_chiropterus,NA,scansorial,direct development,no free-living,no larva
70,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Chiropterotriton,multidentatus,Chiropterotriton_multidentatus,nocturnal,scansorial,direct development,no free-living,no larva
