,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Museum,SpecimenNumber,Sex,Stage,Gill_Presence,SVL_cm,SVL_mm,Mass_g,ED_left_mm,ED_right_mm,CD_left_mm,CD_right_mm,Measured_by
46,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,tigrinum,Ambystoma_tigrinum,CAS,187377,NA,adult,no,9,90,22.35,5.22,5.84,3.96,3.91,Nicole_Bednarik
47,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,tigrinum,Ambystoma_tigrinum,CAS,187379,NA,adult,no,9.6,96,21.73,5.04,5.63,3.5,3.71,Nicole_Bednarik
48,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,means,Amphiuma_means,CAS,172154,NA,adult,yes,50.5,505,323.19,NA,NA,4.2,4.64,Nicole_Bednarik
49,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,means,Amphiuma_means,CAS,8644,NA,adult,yes,62.5,625,367.02,NA,NA,3.6,3.92,Nicole_Bednarik
50,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,means,Amphiuma_means,CAS,7986,NA,adult,yes,49.9,499,283.38,NA,NA,2.77,2.36,Nicole_Bednarik
51,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,tridactylum,Amphiuma_tridactylum,CAS,33231,NA,NA,yes,63.5,635,421,NA,NA,3.41,3.24,Nicole_Bednarik
52,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,tridactylum,Amphiuma_tridactylum,CAS,92321,NA,adult,yes,47.7,477,138.4,NA,NA,2.9,2.4,Nicole_Bednarik
53,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,tridactylum,Amphiuma_tridactylum,CAS,92322,NA,adult,yes,52.3,523,154.81,NA,NA,2.62,2.46,Nicole_Bednarik
54,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,davidianus,Andrias_davidianus,CAS,26787,NA,NA,no,44.4,444,1517,NA,NA,3.98,3.36,Nicole_Bednarik
55,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,davidianus,Andrias_davidianus,MVZ,204246,NA,adult_juv,no,23.2,232,153,NA,NA,4.91,4.33,Nicole_Bednarik
