"","Genus_Species","X","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat","pglsres.cdsvl"
"16","Ambystoma_texanum",16,2.975,1.995,74.6666666666667,1.87397252082396,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","texanum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.0281931543865762
"17","Ambystoma_tigrinum",17,5.65,3.87833333333333,97.6666666666667,2.86713735877051,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","tigrinum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.189650358991521
"18","Amphiuma_means",18,NA,3.58166666666667,543,6.86354589441893,3,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","means","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",-0.29760824181294
"19","Amphiuma_tridactylum",19,NA,2.83833333333333,545,6.01231271168679,3,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","tridactylum","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",-0.399600156556845
"20","Andrias_davidianus",20,NA,4.145,338,8.41935303943248,2,"Caudata","Cryptobranchoidea","Cryptobranchidae","Andrias","davidianus","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water",-0.109073136348381
"21","Andrias_japonicus",21,NA,3.44833333333333,326.333333333333,9.41957594785889,3,"Caudata","Cryptobranchoidea","Cryptobranchidae","Andrias","japonicus","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water",-0.179719248097508
"22","Aneides_aeneus",22,3.76166666666667,2.67333333333333,60.3333333333333,1.45382516788292,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","aeneus","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.15516276841285
"23","Aneides_ferreus",23,3.43666666666667,2.39166666666667,58,1.44875489013811,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","ferreus","no","nocturnal","scansorial","direct development","no free-living","no larva",0.117218179741432
"24","Aneides_flavipunctatus",24,3.17333333333333,2.13833333333333,60,1.29171605502366,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","flavipunctatus","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.0596470022259023
"25","Aneides_hardii",25,2.78333333333333,1.82333333333333,46.3333333333333,1.07538961483547,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","hardii","no","nocturnal","subfossorial","direct development","no free-living","no larva",0.0586460743434872
"26","Aneides_lugubris",26,4.70833333333333,3.55333333333333,84.6666666666667,1.92732756743613,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","lugubris","no","nocturnal","scansorial","direct development","no free-living","no larva",0.189333321360727
"27","Aneides_niger",27,3.43666666666667,2.575,73.6666666666667,1.743307515018,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","niger","no","nocturnal","semiaquatic","direct development","no free-living","no larva",0.0861991620202599
"28","Aneides_vagrans",28,3.45666666666667,2.47,68.6666666666667,1.57924447601026,3,"Caudata","Salamandroidea","Plethodontidae","Aneides","vagrans","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0866660742549574
"29","Batrachoseps_attenuatus",29,1.91166666666667,1.36833333333333,42.3333333333333,0.993140763736866,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","attenuatus","no","nocturnal","subfossorial","direct development","no free-living","no larva",-0.0422032204333931
"30","Batrachoseps_major",30,2.83333333333333,1.79666666666667,48.3333333333333,1.14513734223081,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","major","no","nocturnal","subfossorial","direct development","no free-living","no larva",0.0410960054862117
"31","Batrachoseps_nigriventris",31,1.82666666666667,1.24333333333333,35.6666666666667,0.805830480319564,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","nigriventris","no","nocturnal","subfossorial","direct development","no free-living","no larva",-0.0385895781933192
"32","Batrachoseps_pacificus",32,2.03333333333333,1.40333333333333,40.3333333333333,1.02158138161905,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","pacificus","no","nocturnal","subfossorial","direct development","no free-living","no larva",-0.0184634191785964
"33","Batrachoseps_relictus",33,2.015,1.42,39,0.862535584967474,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","relictus","no","nocturnal","subfossorial","direct development","no free-living","no larva",-0.00446517321705855
"34","Batrachuperus_karlschmidti",34,3.94666666666667,2.75833333333333,73.3333333333333,1.91116796903992,3,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","karlschmidti","no",NA,"aquatic","metamorphosizing","free-living","lotic water",0.117265411960948
"35","Batrachuperus_yenyuanensis",35,4.80166666666667,3.51,85,2.39541827972683,3,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","yenyuanensis","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.182967630941011
