"","Genus_Species","X","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat","pglsres.edsvl"
"57","Dicamptodon_copei",63,4.3175,3.3825,95.5,2.7113256130522,2,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","copei","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water",-0.0801596938217606
"58","Dicamptodon_ensatus",64,8.41666666666667,6.09,149,4.3042946156137,3,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","ensatus","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.0533228603366837
"59","Dicamptodon_tenebrosus",65,7.97666666666667,5.955,141,4.3855377615539,3,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","tenebrosus","no","nocturnal","subfossorial","metamorphosizing","free-living","lotic water",0.0494110072731315
"60","Echinotriton_andersoni",66,5.15666666666667,3.22,92.3333333333333,2.84316710797848,3,"Caudata","Salamandroidea","Salamandridae","Echinotriton","andersoni","no",NA,"terrestrial","metamorphosizing","free-living","lentic water",0.00883534157812349
"61","Ensatina_eschscholtzii",67,4.85,3.83166666666667,75.6666666666667,1.97866043955917,3,"Caudata","Salamandroidea","Plethodontidae","Ensatina","eschscholtzii","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.0522120072712263
"62","Euproctus_montanus",68,3.345,2.2375,48.5,1.50118570996788,2,"Caudata","Salamandroidea","Salamandridae","Euproctus","montanus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0472753969021241
"63","Eurycea_bislineata",69,2.205,1.705,44,1.16681325174933,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","bislineata","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0994695754367565
"64","Eurycea_cirrigera",70,2.28833333333333,1.83333333333333,38.3333333333333,1.02526533742458,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","cirrigera","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.034875650810691
"65","Eurycea_guttolineata",71,3.32833333333333,2.50833333333333,51.3333333333333,1.37344253804573,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","guttolineata","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0251400845540797
"66","Eurycea_longicauda",72,3.35357142857143,2.50357142857143,53.5714285714286,1.295621754489,7,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0134135610991982
"67","Eurycea_lucifuga",73,3.67333333333333,2.63166666666667,61,1.23360962147017,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","lucifuga","no","nocturnal","scansorial","metamorphosizing","free-living","both",0.00730053693010202
"68","Eurycea_quadridigitata",76,1.82166666666667,1.49166666666667,29,0.748498876216243,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","quadridigitata","no","nocturnal","semiaquatic","metamorphosizing","free-living","both",-0.0358045647985187
"69","Eurycea_tynerensis",78,1.8275,1.29,40.5,1.01108920735275,2,"Caudata","Salamandroidea","Plethodontidae","Eurycea","tynerensis","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.151872545391694
"70","Eurycea_wilderae",79,1.99,1.54666666666667,35.3333333333333,0.924010529177722,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","wilderae","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0668840564480401
"71","Gyrinophilus_porphyriticus",80,4.2675,2.8325,90.5,2.38498145886337,2,"Caudata","Salamandroidea","Plethodontidae","Gyrinophilus","porphyriticus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",-0.0663075260869646
"72","Hemidactylium_scutatum",81,2.33333333333333,1.67166666666667,36.6666666666667,0.923872416992799,3,"Caudata","Salamandroidea","Plethodontidae","Hemidactylium","scutatum","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",-0.0107862649723841
"73","Hydromantes_ambrosii",82,4.195,3.18333333333333,59,1.51989335277154,3,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","ambrosii","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0766952332794427
"74","Hydromantes_brunus",83,4.4875,2.8825,65,1.47705267817574,2,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","brunus","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0719095622242985
"75","Hydromantes_imperialis",84,4.56,3.6175,61.55,1.59882199910968,2,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","imperialis","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0980485476207884
"76","Hydromantes_italicus",85,4.15666666666667,3.175,61,1.45565304893794,3,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","italicus","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0609853958928791
"77","Hydromantes_platycephalus",86,3.84833333333333,2.755,54.6666666666667,1.31471403929461,3,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","platycephalus","no","nocturnal","scansorial","direct development","no free-living","no larva",0.0660617042548468
"78","Hynobius_abei",87,3.14666666666667,2.22833333333333,56.3333333333333,1.54743803935098,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","abei","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",-0.031921379655052
"79","Hynobius_amjiensis",88,4.095,2.64,82,2.29955883157793,1,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","amjiensis","no",NA,"terrestrial","metamorphosizing","free-living","lentic water",-0.0495427548801662
"80","Hynobius_chinensis",89,3.44,2.23666666666667,64.3333333333333,1.78137542236894,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","chinensis","no",NA,"terrestrial","metamorphosizing","free-living","lentic water",-0.0399110683622982
"81","Hynobius_kimurae",90,3.735,2.50666666666667,69.3333333333333,1.99045197950593,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","kimurae","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",-0.0304998813456062
"82","Hynobius_leechii",91,3.10666666666667,2.02,55,1.48297822749714,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","leechii","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",-0.0290540753305764
"83","Hynobius_lichenatus",92,3.40666666666667,2.27333333333333,63,1.56836721373127,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","lichenatus","no",NA,"terrestrial","metamorphosizing","free-living","lentic water",-0.036775002494154
"84","Hynobius_naevius",93,3.635,2.305,70,2,1,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","naevius","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",-0.0456512612637217
"85","Hynobius_nebulosus",94,2.85166666666667,1.77166666666667,51,1.50556855835921,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","nebulosus","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",-0.0396970208950249
"86","Hynobius_nigrescens",95,4.34,2.87,76.6666666666667,2.32910729564008,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","nigrescens","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water",-0.00065704270843836
"87","Hynobius_sonani",96,3.49333333333333,2.74666666666667,61,1.49372638643176,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","sonani","no",NA,"terrestrial","metamorphosizing","free-living","lotic water",-0.0145197749379563
"88","Hynobius_tsuensis",97,3.60166666666667,2.41,72.6666666666667,1.99640762342255,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","tsuensis","no",NA,"terrestrial","metamorphosizing","free-living","lotic water",-0.0627998431462629
"89","Ichthyosaura_alpestris",98,3.53666666666667,2.37333333333333,46.6666666666667,1.50001152249738,3,"Caudata","Salamandroidea","Salamandridae","Ichthyosaura","alpestris","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water",0.0850241354208183
"90","Lissotriton_boscai",99,2.54,1.77833333333333,31.6666666666667,0.911953904381452,3,"Caudata","Salamandroidea","Salamandridae","Lissotriton","boscai","no","both","semiaquatic","metamorphosizing","free-living","both",0.0776251800102949
"91","Lissotriton_helveticus",100,3.29666666666667,2.27166666666667,43.3333333333333,1.40965608594756,3,"Caudata","Salamandroidea","Salamandridae","Lissotriton","helveticus","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.0805658202133587
"92","Lissotriton_italicus",101,2.6125,2.025,33,1.1091152679539,2,"Caudata","Salamandroidea","Salamandridae","Lissotriton","italicus","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.0753442817377252
"93","Lissotriton_montandoni",102,3.64,2.64333333333333,49,1.51136065703116,3,"Caudata","Salamandroidea","Salamandridae","Lissotriton","montandoni","no","both","semiaquatic","metamorphosizing","free-living","both",0.0803738620814231
"94","Lissotriton_vulgaris",103,3.55,2.625,47.5,1.51212868054567,2,"Caudata","Salamandroidea","Salamandridae","Lissotriton","vulgaris","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.0804341337475333
"95","Liua_shihi",104,4.40666666666667,3.24833333333333,84,2.09472701516805,3,"Caudata","Cryptobranchoidea","Hynobiidae","Liua","shihi","no",NA,"aquatic","metamorphosizing","free-living","lotic water",-0.0261605950024553
"96","Lyciasalamandra_luschani",105,5.45166666666667,4.055,79,1.83291331498117,3,"Caudata","Salamandroidea","Salamandridae","Lyciasalamandra","luschani","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.0878394751686667
"97","Mertensiella_caucasica",106,3.595,2.645,57,1.53545180813751,1,"Caudata","Salamandroidea","Salamandridae","Mertensiella","caucasica","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.0217895564377044
"98","Neurergus_crocatus",111,5.245,3.49,56,1.75332700420673,1,"Caudata","Salamandroidea","Salamandridae","Neurergus","crocatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.19206037979508
"99","Neurergus_strauchii",112,4.80666666666667,3.445,80.3333333333333,2.10585283533842,3,"Caudata","Salamandroidea","Salamandridae","Neurergus","strauchii","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water",0.0272685340065971
"100","Notophthalmus_viridescens",113,3.71333333333333,2.56833333333333,43,1.28650643389946,3,"Caudata","Salamandroidea","Salamandridae","Notophthalmus","viridescens","no","both","semiaquatic","metamorphosizing","free-living","lentic water",0.134970250808146
"101","Onychodactylus_fischeri",115,4.57833333333333,3.02666666666667,72,1.78363687555187,3,"Caudata","Cryptobranchoidea","Hynobiidae","Onychodactylus","fischeri","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water",0.0446451742968684
"102","Onychodactylus_japonicus",116,4.09,2.83166666666667,71.6666666666667,1.84792974193433,3,"Caudata","Cryptobranchoidea","Hynobiidae","Onychodactylus","japonicus","no",NA,"terrestrial","metamorphosizing","free-living","lotic water",-0.00270709288607052
"103","Pachyhynobius_shangchengensis",117,4.87333333333333,2.82666666666667,116.333333333333,3.1720161187641,3,"Caudata","Cryptobranchoidea","Hynobiidae","Pachyhynobius","shangchengensis","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water",-0.0969600944467393
"104","Pachytriton_brevipes",118,3.62166666666667,2.57333333333333,64,2.02891986234004,3,"Caudata","Salamandroidea","Salamandridae","Pachytriton","brevipes","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water",-0.0157342279644787
"105","Paradactylodon_mustersi",119,4.72916666666667,3.24333333333333,82.5,2.14134734466507,6,"Caudata","Cryptobranchoidea","Hynobiidae","Paradactylodon","mustersi","no",NA,"aquatic","metamorphosizing","free-living","lentic water",0.010850204154722
"106","Paramesotriton_deloustali",120,6.1,4.135,103,3.03114467665555,2,"Caudata","Salamandroidea","Salamandridae","Paramesotriton","deloustali","no",NA,"aquatic","metamorphosizing","free-living","both",0.0433513681840493
"107","Paramesotriton_hongkongensis",121,5.11333333333333,3.61,74,2.01142882763125,3,"Caudata","Salamandroidea","Salamandridae","Paramesotriton","hongkongensis","no","nocturnal","terrestrial","metamorphosizing","free-living","both",0.083006758865714
"108","Plethodon_albagula",122,3.39,2.45,60,1.43500611480635,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","albagula","no","nocturnal","terrestrial","direct development","no free-living","no larva",-0.0217474175633311
"109","Plethodon_cinereus",123,2.10166666666667,1.49833333333333,42.3333333333333,0.949619625075879,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","cinereus","no","nocturnal","terrestrial","direct development","no free-living","no larva",-0.10673505665613
"110","Plethodon_dunni",124,3.105,2.26166666666667,63.3333333333333,1.52628287625961,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","dunni","no","nocturnal","terrestrial","direct development","no free-living","no larva",-0.0788987666541902
"111","Plethodon_elongatus",125,2.75833333333333,1.83,61,1.36913231153065,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","elongatus","no",NA,"terrestrial","direct development","no free-living","no larva",-0.117113055137908
"112","Plethodon_glutinosus",126,3.98,3.05,74,1.89718692529995,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","glutinosus","no","nocturnal","terrestrial","direct development","no free-living","no larva",-0.0258142739538976
"113","Plethodon_idahoensis",127,3.17166666666667,2.39666666666667,51,1.14091441046828,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","idahoensis","no","nocturnal","semiaquatic","direct development","no free-living","no larva",0.00649175785089529
"114","Plethodon_jordani",128,3.52166666666667,2.61166666666667,56.3333333333333,1.45401989705096,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","jordani","no","nocturnal","terrestrial","direct development","no free-living","no larva",0.0169761274352112
"115","Plethodon_vehiculum",129,2.605,1.95333333333333,50,1.19146811708399,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","vehiculum","no","nocturnal","terrestrial","direct development","no free-living","no larva",-0.0720242691572336
"116","Pleurodeles_poireti",130,2.845,1.985,49,1.39590640938178,1,"Caudata","Salamandroidea","Salamandridae","Pleurodeles","poireti","no",NA,"semiaquatic","metamorphosizing","free-living","lentic water",-0.026645250836543
