"","Genus_Species","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat"
"30","Batrachoseps_major",2.83333333333333,1.79666666666667,48.3333333333333,1.14513734223081,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","major","no","nocturnal","subfossorial","direct development","no free-living","no larva"
"31","Batrachoseps_nigriventris",1.82666666666667,1.24333333333333,35.6666666666667,0.805830480319564,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","nigriventris","no","nocturnal","subfossorial","direct development","no free-living","no larva"
"32","Batrachoseps_pacificus",2.03333333333333,1.40333333333333,40.3333333333333,1.02158138161905,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","pacificus","no","nocturnal","subfossorial","direct development","no free-living","no larva"
"33","Batrachoseps_relictus",2.015,1.42,39,0.862535584967474,3,"Caudata","Salamandroidea","Plethodontidae","Batrachoseps","relictus","no","nocturnal","subfossorial","direct development","no free-living","no larva"
"34","Batrachuperus_karlschmidti",3.94666666666667,2.75833333333333,73.3333333333333,1.91116796903992,3,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","karlschmidti","no",NA,"aquatic","metamorphosizing","free-living","lotic water"
"35","Batrachuperus_yenyuanensis",4.80166666666667,3.51,85,2.39541827972683,3,"Caudata","Cryptobranchoidea","Hynobiidae","Batrachuperus","yenyuanensis","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"36","Bolitoglossa_altamazonica",3.4,2.395,53,1.51973910573027,1,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","altamazonica","no","nocturnal","scansorial","direct development","no free-living","no larva"
"37","Bolitoglossa_engelhardti",3.30333333333333,2.35166666666667,48.6666666666667,1.2613016154594,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","engelhardti","no","nocturnal","scansorial","direct development","no free-living","no larva"
"38","Bolitoglossa_lignicolor",3.77,2.58,62,1.44064528692515,1,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","lignicolor","no","nocturnal","scansorial","direct development","no free-living","no larva"
"39","Bolitoglossa_marmorea",4.09166666666667,2.92,62.3333333333333,1.53056983387466,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","marmorea","no","nocturnal","scansorial","direct development","no free-living","no larva"
"40","Bolitoglossa_mexicana",4.35333333333333,2.96666666666667,80,1.92788054902655,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","mexicana","no","nocturnal","scansorial","direct development","no free-living","no larva"
"41","Bolitoglossa_morio",3.31166666666667,2.29,56,1.42177585049763,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","morio","no","nocturnal","scansorial","direct development","no free-living","no larva"
"42","Bolitoglossa_platydactyla",4.14833333333333,2.94166666666667,84,1.97625077023645,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","platydactyla","no","nocturnal","scansorial","direct development","no free-living","no larva"
"43","Bolitoglossa_rostrata",3.515,2.36833333333333,47,1.18019632162372,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rostrata","no","nocturnal","scansorial","direct development","no free-living","no larva"
"44","Bolitoglossa_rufescens",2.58666666666667,1.78333333333333,33.6666666666667,0.877313587038634,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","rufescens","no","nocturnal","scansorial","direct development","no free-living","no larva"
"45","Bolitoglossa_subpalmata",3.21166666666667,2.425,45.6666666666667,1.11691943495519,3,"Caudata","Salamandroidea","Plethodontidae","Bolitoglossa","subpalmata","no","nocturnal","scansorial","direct development","no free-living","no larva"
"46","Calotriton_asper",3.65,2.71666666666667,63.5066666666667,1.93787651468876,3,"Caudata","Salamandroidea","Salamandridae","Calotriton","asper","no","nocturnal","semiaquatic","metamorphosizing","free-living","both"
"47","Chioglossa_lusitanica",2.54666666666667,1.89166666666667,45,1.20578806883832,3,"Caudata","Salamandroidea","Salamandridae","Chioglossa","lusitanica","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"48","Chiropterotriton_chiropterus",2.56333333333333,2.05166666666667,35.3333333333333,0.910840895105219,3,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","chiropterus","no",NA,"scansorial","direct development","no free-living","no larva"
"49","Chiropterotriton_multidentatus",2.58833333333333,1.775,40.3333333333333,0.941655700247935,3,"Caudata","Salamandroidea","Plethodontidae","Chiropterotriton","multidentatus","no","nocturnal","scansorial","direct development","no free-living","no larva"
"50","Cryptobranchus_alleganiensis",NA,3.66625,283.25,7.23395082849052,4,"Caudata","Cryptobranchoidea","Cryptobranchidae","Cryptobranchus","alleganiensis","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"51","Cynops_ensicauda",3.835,2.98,54,1.81104322103931,1,"Caudata","Salamandroidea","Salamandridae","Cynops","ensicauda","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"52","Cynops_pyrrhogaster",4.70833333333333,3.40666666666667,72,2.28877951712248,3,"Caudata","Salamandroidea","Salamandridae","Cynops","pyrrhogaster","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"53","Cynops_wolterstorffi",4.46833333333333,3.23666666666667,72.6666666666667,2.24198593489615,3,"Caudata","Salamandroidea","Salamandridae","Cynops","wolterstorffi","no",NA,"aquatic","metamorphosizing","free-living","lentic water"
"54","Desmognathus_auriculatus",2.80166666666667,2.03,58.6666666666667,1.60362201765371,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","auriculatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"55","Desmognathus_brimleyorum",2.71666666666667,1.98,51,1.44073763094781,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","brimleyorum","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"56","Desmognathus_conanti",2.58,2.01333333333333,53,1.43447580012026,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","conanti","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"57","Desmognathus_fuscus",3.14833333333333,2.46666666666667,60,1.58376896305387,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","fuscus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"58","Desmognathus_imitator",2.63833333333333,1.90333333333333,45.3333333333333,1.31296876565508,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","imitator","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"59","Desmognathus_monticola",3.535,2.55833333333333,61.6666666666667,1.85962839862077,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","monticola","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"60","Desmognathus_ochrophaeus",2.17833333333333,1.69,41,1.08399892410943,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","ochrophaeus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"61","Desmognathus_quadramaculatus",3.74166666666667,2.63,68.3333333333333,1.81643807917099,3,"Caudata","Salamandroidea","Plethodontidae","Desmognathus","quadramaculatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"62","Dicamptodon_aterrimus",5.64333333333333,4.39,120.333333333333,3.2542452303802,3,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","aterrimus","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water"
"63","Dicamptodon_copei",4.3175,3.3825,95.5,2.7113256130522,2,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","copei","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water"
"64","Dicamptodon_ensatus",8.41666666666667,6.09,149,4.3042946156137,3,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","ensatus","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"65","Dicamptodon_tenebrosus",7.97666666666667,5.955,141,4.3855377615539,3,"Caudata","Salamandroidea","Dicamptodontidae","Dicamptodon","tenebrosus","no","nocturnal","subfossorial","metamorphosizing","free-living","lotic water"
"66","Echinotriton_andersoni",5.15666666666667,3.22,92.3333333333333,2.84316710797848,3,"Caudata","Salamandroidea","Salamandridae","Echinotriton","andersoni","no",NA,"terrestrial","metamorphosizing","free-living","lentic water"
"67","Ensatina_eschscholtzii",4.85,3.83166666666667,75.6666666666667,1.97866043955917,3,"Caudata","Salamandroidea","Plethodontidae","Ensatina","eschscholtzii","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"68","Euproctus_montanus",3.345,2.2375,48.5,1.50118570996788,2,"Caudata","Salamandroidea","Salamandridae","Euproctus","montanus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"69","Eurycea_bislineata",2.205,1.705,44,1.16681325174933,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","bislineata","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"70","Eurycea_cirrigera",2.28833333333333,1.83333333333333,38.3333333333333,1.02526533742458,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","cirrigera","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"71","Eurycea_guttolineata",3.32833333333333,2.50833333333333,51.3333333333333,1.37344253804573,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","guttolineata","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"72","Eurycea_longicauda",3.35357142857143,2.50357142857143,53.5714285714286,1.295621754489,7,"Caudata","Salamandroidea","Plethodontidae","Eurycea","longicauda","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"73","Eurycea_lucifuga",3.67333333333333,2.63166666666667,61,1.23360962147017,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","lucifuga","no","nocturnal","scansorial","metamorphosizing","free-living","both"
"74","Eurycea_nana",NA,1.095,26.3333333333333,0.67510985483871,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","nana","yes",NA,"aquatic","paedomorphic","free-living","lotic water"
"75","Eurycea_neotenes",NA,1.5425,35.68,1.03228011545637,2,"Caudata","Salamandroidea","Plethodontidae","Eurycea","neotenes","yes",NA,"aquatic","paedomorphic","free-living","lotic water"
"76","Eurycea_quadridigitata",1.82166666666667,1.49166666666667,29,0.748498876216243,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","quadridigitata","no","nocturnal","semiaquatic","metamorphosizing","free-living","both"
"78","Eurycea_tynerensis",1.8275,1.29,40.5,1.01108920735275,2,"Caudata","Salamandroidea","Plethodontidae","Eurycea","tynerensis","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"79","Eurycea_wilderae",1.99,1.54666666666667,35.3333333333333,0.924010529177722,3,"Caudata","Salamandroidea","Plethodontidae","Eurycea","wilderae","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"80","Gyrinophilus_porphyriticus",4.2675,2.8325,90.5,2.38498145886337,2,"Caudata","Salamandroidea","Plethodontidae","Gyrinophilus","porphyriticus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"81","Hemidactylium_scutatum",2.33333333333333,1.67166666666667,36.6666666666667,0.923872416992799,3,"Caudata","Salamandroidea","Plethodontidae","Hemidactylium","scutatum","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water"
"82","Hydromantes_ambrosii",4.195,3.18333333333333,59,1.51989335277154,3,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","ambrosii","no","nocturnal","scansorial","direct development","no free-living","no larva"
"83","Hydromantes_brunus",4.4875,2.8825,65,1.47705267817574,2,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","brunus","no","nocturnal","scansorial","direct development","no free-living","no larva"
"84","Hydromantes_imperialis",4.56,3.6175,61.55,1.59882199910968,2,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","imperialis","no","nocturnal","scansorial","direct development","no free-living","no larva"
"85","Hydromantes_italicus",4.15666666666667,3.175,61,1.45565304893794,3,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","italicus","no","nocturnal","scansorial","direct development","no free-living","no larva"
"86","Hydromantes_platycephalus",3.84833333333333,2.755,54.6666666666667,1.31471403929461,3,"Caudata","Salamandroidea","Plethodontidae","Hydromantes","platycephalus","no","nocturnal","scansorial","direct development","no free-living","no larva"
"87","Hynobius_abei",3.14666666666667,2.22833333333333,56.3333333333333,1.54743803935098,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","abei","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water"
"88","Hynobius_amjiensis",4.095,2.64,82,2.29955883157793,1,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","amjiensis","no",NA,"terrestrial","metamorphosizing","free-living","lentic water"
"89","Hynobius_chinensis",3.44,2.23666666666667,64.3333333333333,1.78137542236894,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","chinensis","no",NA,"terrestrial","metamorphosizing","free-living","lentic water"
"90","Hynobius_kimurae",3.735,2.50666666666667,69.3333333333333,1.99045197950593,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","kimurae","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"91","Hynobius_leechii",3.10666666666667,2.02,55,1.48297822749714,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","leechii","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water"
"92","Hynobius_lichenatus",3.40666666666667,2.27333333333333,63,1.56836721373127,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","lichenatus","no",NA,"terrestrial","metamorphosizing","free-living","lentic water"
"93","Hynobius_naevius",3.635,2.305,70,2,1,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","naevius","no",NA,NA,NA,NA,NA
"94","Hynobius_nebulosus",2.85166666666667,1.77166666666667,51,1.50556855835921,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","nebulosus","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water"
"95","Hynobius_nigrescens",4.34,2.87,76.6666666666667,2.32910729564008,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","nigrescens","no","nocturnal","terrestrial","metamorphosizing","free-living","lentic water"
"96","Hynobius_sonani",3.49333333333333,2.74666666666667,61,1.49372638643176,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","sonani","no",NA,"terrestrial","metamorphosizing","free-living","lotic water"
"97","Hynobius_tsuensis",3.60166666666667,2.41,72.6666666666667,1.99640762342255,3,"Caudata","Cryptobranchoidea","Hynobiidae","Hynobius","tsuensis","no",NA,"terrestrial","metamorphosizing","free-living","lotic water"
"98","Ichthyosaura_alpestris",3.53666666666667,2.37333333333333,46.6666666666667,1.50001152249738,3,"Caudata","Salamandroidea","Salamandridae","Ichthyosaura","alpestris","no","nocturnal","semiaquatic","metamorphosizing","free-living","lentic water"
"99","Lissotriton_boscai",2.54,1.77833333333333,31.6666666666667,0.911953904381452,3,"Caudata","Salamandroidea","Salamandridae","Lissotriton","boscai","no","both","semiaquatic","metamorphosizing","free-living","both"
"100","Lissotriton_helveticus",3.29666666666667,2.27166666666667,43.3333333333333,1.40965608594756,3,"Caudata","Salamandroidea","Salamandridae","Lissotriton","helveticus","no","both","semiaquatic","metamorphosizing","free-living","lentic water"
"101","Lissotriton_italicus",2.6125,2.025,33,1.1091152679539,2,"Caudata","Salamandroidea","Salamandridae","Lissotriton","italicus","no","both","semiaquatic","metamorphosizing","free-living","lentic water"
"102","Lissotriton_montandoni",3.64,2.64333333333333,49,1.51136065703116,3,"Caudata","Salamandroidea","Salamandridae","Lissotriton","montandoni","no","both","semiaquatic","metamorphosizing","free-living","both"
"103","Lissotriton_vulgaris",3.55,2.625,47.5,1.51212868054567,2,"Caudata","Salamandroidea","Salamandridae","Lissotriton","vulgaris","no","both","semiaquatic","metamorphosizing","free-living","lentic water"
"104","Liua_shihi",4.40666666666667,3.24833333333333,84,2.09472701516805,3,"Caudata","Cryptobranchoidea","Hynobiidae","Liua","shihi","no",NA,"aquatic","metamorphosizing","free-living","lotic water"
"105","Lyciasalamandra_luschani",5.45166666666667,4.055,79,1.83291331498117,3,"Caudata","Salamandroidea","Salamandridae","Lyciasalamandra","luschani","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"106","Mertensiella_caucasica",3.595,2.645,57,1.53545180813751,1,"Caudata","Salamandroidea","Salamandridae","Mertensiella","caucasica","no","nocturnal","terrestrial","metamorphosizing","free-living","lotic water"
"107","Necturus_alabamensis",NA,2.595,112,3.02825163179757,1,"Caudata","Salamandroidea","Proteidae","Necturus","alabamensis","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water"
"108","Necturus_beyeri",NA,2.8125,120,3.15057077725514,2,"Caudata","Salamandroidea","Proteidae","Necturus","beyeri","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water"
"109","Necturus_lewisi",NA,3.315,152.333333333333,3.71821207565473,3,"Caudata","Salamandroidea","Proteidae","Necturus","lewisi","yes","nocturnal","aquatic","paedomorphic","free-living","lotic water"
"110","Necturus_maculosus",NA,4.18333333333333,210.333333333333,4.92160975979987,3,"Caudata","Salamandroidea","Proteidae","Necturus","maculosus","yes","nocturnal","aquatic","paedomorphic","free-living","both"
"111","Neurergus_crocatus",5.245,3.49,56,1.75332700420673,1,"Caudata","Salamandroidea","Salamandridae","Neurergus","crocatus","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"112","Neurergus_strauchii",4.80666666666667,3.445,80.3333333333333,2.10585283533842,3,"Caudata","Salamandroidea","Salamandridae","Neurergus","strauchii","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"113","Notophthalmus_viridescens",3.71333333333333,2.56833333333333,43,1.28650643389946,3,"Caudata","Salamandroidea","Salamandridae","Notophthalmus","viridescens","no","both","semiaquatic","metamorphosizing","free-living","lentic water"
"114","Ommatotriton_vittatus",NA,3.91,62.45,1.56938078079056,3,"Caudata","Salamandroidea","Salamandridae","Ommatotriton ","vittatus","no",NA,"semiaquatic","metamorphosizing","free-living","lentic water"
"115","Onychodactylus_fischeri",4.57833333333333,3.02666666666667,72,1.78363687555187,3,"Caudata","Cryptobranchoidea","Hynobiidae","Onychodactylus","fischeri","no","nocturnal","semiaquatic","metamorphosizing","free-living","lotic water"
"116","Onychodactylus_japonicus",4.09,2.83166666666667,71.6666666666667,1.84792974193433,3,"Caudata","Cryptobranchoidea","Hynobiidae","Onychodactylus","japonicus","no",NA,"terrestrial","metamorphosizing","free-living","lotic water"
"117","Pachyhynobius_shangchengensis",4.87333333333333,2.82666666666667,116.333333333333,3.1720161187641,3,"Caudata","Cryptobranchoidea","Hynobiidae","Pachyhynobius","shangchengensis","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"118","Pachytriton_brevipes",3.62166666666667,2.57333333333333,64,2.02891986234004,3,"Caudata","Salamandroidea","Salamandridae","Pachytriton","brevipes","no","nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"119","Paradactylodon_mustersi",4.72916666666667,3.24333333333333,82.5,2.14134734466507,6,"Caudata","Cryptobranchoidea","Hynobiidae","Paradactylodon","mustersi","no",NA,"aquatic","metamorphosizing","free-living","lentic water"
"120","Paramesotriton_deloustali",6.1,4.135,103,3.03114467665555,2,"Caudata","Salamandroidea","Salamandridae","Paramesotriton","deloustali","no",NA,"aquatic","metamorphosizing","free-living","both"
"121","Paramesotriton_hongkongensis",5.11333333333333,3.61,74,2.01142882763125,3,"Caudata","Salamandroidea","Salamandridae","Paramesotriton","hongkongensis","no","nocturnal","terrestrial","metamorphosizing","free-living","both"
"122","Plethodon_albagula",3.39,2.45,60,1.43500611480635,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","albagula","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"123","Plethodon_cinereus",2.10166666666667,1.49833333333333,42.3333333333333,0.949619625075879,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","cinereus","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"124","Plethodon_dunni",3.105,2.26166666666667,63.3333333333333,1.52628287625961,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","dunni","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"125","Plethodon_elongatus",2.75833333333333,1.83,61,1.36913231153065,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","elongatus","no",NA,"terrestrial","direct development","no free-living","no larva"
"126","Plethodon_glutinosus",3.98,3.05,74,1.89718692529995,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","glutinosus","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"127","Plethodon_idahoensis",3.17166666666667,2.39666666666667,51,1.14091441046828,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","idahoensis","no","nocturnal","semiaquatic","direct development","no free-living","no larva"
"128","Plethodon_jordani",3.52166666666667,2.61166666666667,56.3333333333333,1.45401989705096,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","jordani","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"129","Plethodon_vehiculum",2.605,1.95333333333333,50,1.19146811708399,3,"Caudata","Salamandroidea","Plethodontidae","Plethodon","vehiculum","no","nocturnal","terrestrial","direct development","no free-living","no larva"
"130","Pleurodeles_poireti",2.845,1.985,49,1.39590640938178,1,"Caudata","Salamandroidea","Salamandridae","Pleurodeles","poireti","no",NA,"semiaquatic","metamorphosizing","free-living","lentic water"
