"","Genus_Species","X","Order","Suborder","Family","Genus","Species","Gill_Presence","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat"
"32","Ambystoma_mexicanum",32,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","mexicanum","yes",126,61,3.93649718310217,4.79,4.7,4.745,2.66,2.88,2.77,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"33","Ambystoma_opacum",33,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","opacum","no",69,8.68,2.05513288390315,3.72,3.95,3.835,2.82,2.78,2.8,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"34","Ambystoma_opacum",34,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","opacum","no",66,3.9,1.57406091663144,3.9,3.6,3.75,2.75,2.83,2.79,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"35","Ambystoma_opacum",35,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","opacum","no",68,6.83,1.89731847025408,3.62,3.59,3.605,2.92,2.81,2.865,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"36","Ambystoma_ordinarium",36,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","ordinarium","yes",55,6.67,1.88238568417309,2.68,2.78,2.73,2.11,2.09,2.1,"diurnal","aquatic","paedomorphic","free-living","lotic water"
"37","Ambystoma_rosaceum",37,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","rosaceum","yes",64,11.23,2.23937376201346,3.4,3.21,3.305,2.56,2.46,2.51,"nocturnal","aquatic","paedomorphic","free-living","lotic water"
"38","Ambystoma_rosaceum",38,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","rosaceum","yes",62,11.64,2.2663013636596,3.41,3.34,3.375,2.44,2.33,2.385,"nocturnal","aquatic","paedomorphic","free-living","lotic water"
"39","Ambystoma_rosaceum",39,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","rosaceum","yes",63,11.13,2.2327069355366,3.91,4.06,3.985,2.6,2.25,2.425,"nocturnal","aquatic","paedomorphic","free-living","lotic water"
"40","Ambystoma_talpoideum",40,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","talpoideum","no",42,1.32,1.09696131048652,2.58,2.49,2.535,1.49,1.63,1.56,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"41","Ambystoma_talpoideum",41,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","talpoideum","no",51,3.39,1.50221893814599,3.29,3.22,3.255,2.18,2.38,2.28,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"42","Ambystoma_texanum",42,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","texanum","no",80,7.92,1.99331098682519,3.41,3.16,3.285,2.12,2.16,2.14,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"43","Ambystoma_texanum",43,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","texanum","no",81,7.51,1.95830340480392,3.26,2.93,3.095,2.2,2.03,2.115,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"44","Ambystoma_texanum",44,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","texanum","no",63,4.66,1.67030317084277,2.5,2.59,2.545,1.71,1.75,1.73,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"45","Ambystoma_tigrinum",45,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","tigrinum","no",107,26.84,2.99406232985174,6.18,5.99,6.085,4.1,4.09,4.095,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"46","Ambystoma_tigrinum",46,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","tigrinum","no",90,22.35,2.81682051997775,5.84,5.22,5.53,3.91,3.96,3.935,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"47","Ambystoma_tigrinum",47,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","tigrinum","no",96,21.73,2.79052922648204,5.63,5.04,5.335,3.71,3.5,3.605,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"48","Amphiuma_means",48,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","means","yes",505,323.19,6.86255710782898,NA,NA,NA,4.64,4.2,4.42,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"49","Amphiuma_means",49,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","means","yes",625,367.02,7.15972887876143,NA,NA,NA,3.92,3.6,3.76,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"50","Amphiuma_means",50,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","means","yes",499,283.38,6.56835169666637,NA,NA,NA,2.36,2.77,2.565,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"51","Amphiuma_tridactylum",51,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","tridactylum","yes",635,421,7.49481122585905,NA,NA,NA,3.24,3.41,3.325,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"52","Amphiuma_tridactylum",52,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","tridactylum","yes",477,138.4,5.17263733388935,NA,NA,NA,2.4,2.9,2.65,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"53","Amphiuma_tridactylum",53,"Caudata","Salamandroidea","Amphiumidae","Amphiuma","tridactylum","yes",523,154.81,5.36948957531196,NA,NA,NA,2.46,2.62,2.54,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"54","Andrias_davidianus",54,"Caudata","Cryptobranchoidea","Cryptobranchidae","Andrias","davidianus","no",444,1517,11.4902248376256,NA,NA,NA,3.36,3.98,3.67,"nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"55","Andrias_davidianus",55,"Caudata","Cryptobranchoidea","Cryptobranchidae","Andrias","davidianus","no",232,153,5.34848124123936,NA,NA,NA,4.33,4.91,4.62,"nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"56","Andrias_japonicus",56,"Caudata","Cryptobranchoidea","Cryptobranchidae","Andrias","japonicus","no",287,891,9.62260298998748,NA,NA,NA,3.27,3.29,3.28,"nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"57","Andrias_japonicus",57,"Caudata","Cryptobranchoidea","Cryptobranchidae","Andrias","japonicus","no",277,440,7.60590492152278,NA,NA,NA,2.89,3.14,3.015,"nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"58","Andrias_japonicus",58,"Caudata","Cryptobranchoidea","Cryptobranchidae","Andrias","japonicus","no",415,1342,11.0302199320664,NA,NA,NA,4.02,4.08,4.05,"nocturnal","aquatic","metamorphosizing","free-living","lotic water"
"59","Aneides_aeneus",133,"Caudata","Salamandroidea","Plethodontidae","Aneides","aeneus","no",60,3.78,1.55774823055533,3.78,3.73,3.755,2.47,2.45,2.46,"nocturnal","scansorial","direct development","no free-living","no larva"
"60","Aneides_aeneus",134,"Caudata","Salamandroidea","Plethodontidae","Aneides","aeneus","no",60,2.77,1.40440787602032,3.9,3.72,3.81,2.8,2.84,2.82,"nocturnal","scansorial","direct development","no free-living","no larva"
"61","Aneides_aeneus",135,"Caudata","Salamandroidea","Plethodontidae","Aneides","aeneus","no",61,2.74,1.3993193970731,3.78,3.66,3.72,2.85,2.63,2.74,"nocturnal","scansorial","direct development","no free-living","no larva"
"62","Aneides_ferreus",136,"Caudata","Salamandroidea","Plethodontidae","Aneides","ferreus","no",63,4.05,1.59398785377392,3.37,3.68,3.525,2.5,2.27,2.385,"nocturnal","scansorial","direct development","no free-living","no larva"
"63","Aneides_ferreus",137,"Caudata","Salamandroidea","Plethodontidae","Aneides","ferreus","no",58,3.01,1.44385029256496,3.45,3.53,3.49,2.37,2.47,2.42,"nocturnal","scansorial","direct development","no free-living","no larva"
"64","Aneides_ferreus",138,"Caudata","Salamandroidea","Plethodontidae","Aneides","ferreus","no",53,2.24,1.30842652407544,3.26,3.33,3.295,2.31,2.43,2.37,"nocturnal","scansorial","direct development","no free-living","no larva"
